Epoch,Train Loss,Validation Loss,Validation Accuracy,Train_Loss,Validation_Loss,Validation_Accuracy,FLOPs
1,,,,0.32967757039210377,0.7537537826733156,80.76358296622614,2853759890.0
2,,,,0.3208069719812449,0.44530375775965775,83.84728340675477,2853759890.0
3,,,,0.23486499010640033,0.4694227989424359,84.87518355359765,2853759890.0
4,,,,0.2417368291055455,0.4328450011936101,83.84728340675477,2853759890.0
5,,,,0.20839501408969655,0.329687832092697,88.10572687224669,2853759890.0
6,,,,0.17122568159418947,1.435984572226351,70.63142437591777,2853759890.0
7,,,,0.1358161045347943,0.28791905973445286,89.28046989721,2853759890.0
8,,,,0.16053287086679655,0.36057311770590866,86.19676945668135,2853759890.0
9,,,,0.0924742158228422,0.3795525624670766,88.83994126284875,2853759890.0
10,,,,0.11482875555315439,0.8543829823082144,71.95301027900148,2853759890.0
11,,,,0.08610151358606184,0.3334998252632266,89.72099853157121,2853759890.0
12,,,,0.11291024154599975,0.40869166431101883,85.02202643171806,2853759890.0
13,,,,0.097780041204875,0.36208195036107843,88.39941262848751,2853759890.0
14,,,,0.05392879376954892,0.40437411245974625,88.54625550660793,2853759890.0
15,,,,0.0641308812342365,0.4362132376567884,85.16886930983847,2853759890.0
16,,,,0.06846858813043903,0.5051417760550976,86.19676945668135,2853759890.0
17,,,,0.04776740537079818,0.5455696819858118,86.49045521292217,2853759890.0
18,,,,0.04927470383289106,0.3649627508764917,87.95888399412628,2853759890.0
19,,,,0.04077066007850911,0.47142272747375746,86.63729809104258,2853759890.0
20,,,,0.04237031822558492,0.734626942737536,81.20411160058737,2853759890.0
21,,,,0.05512255631277666,0.3637022034857761,89.28046989721,2853759890.0
22,,,,0.03787256481386173,0.4016604523428462,89.13362701908957,2853759890.0
23,,,,0.04101347567390322,0.3193227166987278,90.30837004405286,2853759890.0
24,,,,0.04932775567285717,0.7201946452260017,84.72834067547724,2853759890.0
25,,,,0.03781527711338747,0.4804063188758763,88.10572687224669,2853759890.0
26,,,,0.024916449568563086,0.563220003111796,87.66519823788546,2853759890.0
27,,,,0.05183312119505204,0.5016519537576559,87.81204111600587,2853759890.0
28,,,,0.04499103896840311,0.4879078793932091,87.51835535976505,2853759890.0
29,,,,0.04708623689571943,0.36023451015353203,89.28046989721,2853759890.0
30,,,,0.05661131270668086,0.45745048070834443,88.98678414096916,2853759890.0
31,,,,0.0193795699174242,0.48740265679291706,88.2525697503671,2853759890.0
32,,,,0.032665937211405593,0.4625005503608422,88.10572687224669,2853759890.0
33,,,,0.04722245212794994,0.44823683256452734,88.98678414096916,2853759890.0
34,,,,0.04044400394846247,0.43012967688793485,88.69309838472834,2853759890.0
35,,,,0.011338601183652987,0.4838496544821696,89.28046989721,2853759890.0
36,,,,0.019665810092791457,0.4424664523791183,89.72099853157121,2853759890.0
37,,,,0.026068231568120503,0.46468582918698137,88.2525697503671,2853759890.0
38,,,,0.024518559244461356,0.5573342544111338,87.66519823788546,2853759890.0
39,,,,0.019105505961402633,0.5086714855649255,87.22466960352423,2853759890.0
40,,,,0.028746302920626476,0.41606025567108934,89.42731277533039,2853759890.0
41,,,,0.025949621737441596,0.41877758130431175,88.83994126284875,2853759890.0
42,,,,0.005437167764338322,0.44364336962726986,89.5741556534508,2853759890.0
43,,,,0.002387674926499398,0.4366077445447445,89.86784140969164,2853759890.0
44,,,,0.0022207688192900283,0.5010627254166387,88.10572687224669,2853759890.0
45,,,,0.000574690994752767,0.47928794219412585,90.45521292217327,2853759890.0
46,,,,0.0006234094942984109,0.4645474534481764,91.04258443465491,2853759890.0
47,,,,0.03132263575995132,0.9816857549277219,80.46989720998532,2853759890.0
48,,,,0.10127470951308222,0.6405186063864015,85.90308370044053,2853759890.0
49,,,,0.040351752075366676,0.4328847408972003,89.86784140969164,2853759890.0
50,,,,0.03689817625700551,0.3951916976577856,88.69309838472834,2853759890.0
