Epoch,Train_Loss,Validation_Loss,Validation_Accuracy,FLOPs
1,0.3566198853885426,0.35879855061119253,84.72834067547724,533901818
2,0.23513532973387663,0.19083867052739317,91.92364170337738,533901818
3,0.14799453226082465,0.2702512080696496,92.2173274596182,533901818
4,0.14685244584346518,0.19276917234740473,93.83259911894272,533901818
5,0.11338921522392946,0.17432688989422537,94.12628487518356,533901818
6,0.07874605572946808,0.19782772203060714,92.95154185022027,533901818
7,0.08050026462742073,0.16220782580785453,94.86049926578562,533901818
8,0.043295150189934406,0.13625646899030966,95.00734214390602,533901818
9,0.028665982126532232,0.14980736620385537,95.44787077826726,533901818
10,0.041802074623924185,0.11508460173552687,96.0352422907489,533901818
11,0.04317059478421202,0.24878082746131855,91.48311306901616,533901818
12,0.03396489624317516,0.14272238229486076,94.27312775330397,533901818
13,0.06336649332661182,0.16604178187183358,94.12628487518356,533901818
14,0.0464531988823129,0.1203429412456568,95.15418502202643,533901818
15,0.03409002706381109,0.13755152305450544,94.41997063142438,533901818
16,0.03428030190373059,0.16112413934685968,94.7136563876652,533901818
17,0.016795151441714125,0.11406881037295204,96.32892804698973,533901818
18,0.007849735182689449,0.11246158177329396,95.88839941262849,533901818
19,0.006377065658692599,0.11522061413746666,95.74155653450808,533901818
20,0.0049946684243931325,0.11122800447364253,96.1820851688693,533901818
21,0.004330278691315257,0.10626756158572706,96.32892804698973,533901818
22,0.0033260176394833254,0.10554808021036231,96.62261380323054,533901818
23,0.004027470355418593,0.10536506249495274,96.62261380323054,533901818
24,0.003383778427472434,0.0986667376763018,96.76945668135095,533901818
25,0.0025879202748696757,0.10950448317982425,96.32892804698973,533901818
26,0.0029322300365653494,0.11017887296541383,97.06314243759178,533901818
27,0.003127303435544223,0.10735291267073163,97.06314243759178,533901818
28,0.0011602203764007701,0.11035915716638556,97.06314243759178,533901818
29,0.0017954677783777965,0.11772536810498092,96.62261380323054,533901818
30,0.001199105603775345,0.12834406189821576,96.47577092511013,533901818
31,0.002813457509268226,0.1212267494741933,96.62261380323054,533901818
32,0.002154102165834903,0.11606511758211789,96.76945668135095,533901818
33,0.001383259853173513,0.12022224082267546,96.76945668135095,533901818
34,0.0010714298809034518,0.11383488677727821,96.91629955947137,533901818
35,0.001273210527602607,0.11564676184207201,97.06314243759178,533901818
36,0.0029460446373431137,0.12170468721821882,96.76945668135095,533901818
37,0.000572511218214298,0.12337705840631812,96.76945668135095,533901818
38,0.0015908578359812963,0.12032247124509675,96.76945668135095,533901818
39,0.0018745103494866805,0.11787623205931265,96.62261380323054,533901818
40,0.001787093423124187,0.11843908344301533,96.76945668135095,533901818
41,0.001511859756647027,0.12331329498159573,96.62261380323054,533901818
42,0.0018417754617985338,0.123430423868492,96.76945668135095,533901818
43,0.002116272733805732,0.11594532374874689,96.91629955947137,533901818
44,0.0023072897701186938,0.11357449685271025,96.76945668135095,533901818
45,0.0004413683860013193,0.1172158066500825,96.91629955947137,533901818
46,0.002771005001565808,0.11866070780590897,97.06314243759178,533901818
47,0.004125387468486545,0.12176107897407333,96.62261380323054,533901818
48,0.0011300467324925944,0.11181602997715924,96.76945668135095,533901818
49,0.00044797574857297794,0.11603611033933703,96.91629955947137,533901818
50,0.0013365393974441651,0.1165462272157046,96.91629955947137,533901818
