Epoch,Train_Loss,Validation_Loss,Validation_Accuracy,FLOPs
1,0.8036871875033659,0.6839581809260629,52.42290748898678,712352322.0
2,0.688307139452766,0.689788284626874,53.15712187958884,712352322.0
3,0.679580520882326,0.7073845348574899,49.48604992657856,712352322.0
4,0.673078344148748,0.642664294351231,63.87665198237885,712352322.0
5,0.655891258576337,0.6917161860249259,49.48604992657856,712352322.0
6,0.6243856132030488,0.66408294710246,74.15565345080763,712352322.0
7,0.5444407073890462,0.6640572629191659,75.77092511013215,712352322.0
8,0.4839289042879553,0.4248143888332627,82.08516886930984,712352322.0
9,0.4515199121306924,0.4380496388131922,78.41409691629956,712352322.0
10,0.4435428593088599,0.4834712039340626,75.91776798825258,712352322.0
11,0.43608904708834256,0.45019702545621176,82.67254038179148,712352322.0
12,0.4122831139494391,0.35624027252197266,84.58149779735683,712352322.0
13,0.35881313120617586,0.4030444025993347,83.25991189427313,712352322.0
14,0.3859921429087134,0.4790784418582916,76.79882525697504,712352322.0
15,0.41283190969158623,0.5410274192690849,83.25991189427313,712352322.0
16,0.2953261377180324,0.7059456245465712,84.14096916299559,712352322.0
17,0.3342774082632626,0.3895464383743026,81.79148311306902,712352322.0
18,0.3157569725723828,0.39130841195583344,83.84728340675477,712352322.0
19,0.25169782862067225,0.4529731558127837,84.43465491923642,712352322.0
20,0.25431188099524554,0.36833749237385666,85.75624082232012,712352322.0
21,0.2655916763579144,0.5253732258623297,80.61674008810573,712352322.0
22,0.22162242965663181,0.34380763803016057,86.19676945668135,712352322.0
23,0.20442902331843096,0.4147622597149827,85.31571218795888,712352322.0
24,0.2566791212734054,0.4039427333257415,85.02202643171806,712352322.0
25,0.20127608589828014,0.3442155518992381,86.63729809104258,712352322.0
26,0.3338971639161601,0.47575311633673584,75.62408223201174,712352322.0
27,0.2982518475283595,0.4023165966976773,83.40675477239354,712352322.0
28,0.23007907345891,0.3254442377523942,86.9309838472834,712352322.0
29,0.17339279456611942,0.4368897273459218,85.6093979441997,712352322.0
30,0.23906262166359846,0.5808148309588432,84.28781204111601,712352322.0
31,0.17798674276427312,0.7396574582565915,84.58149779735683,712352322.0
32,0.14909517094492913,0.6234151548282667,85.6093979441997,712352322.0
33,0.13796425842652646,0.6498801406811584,87.22466960352423,712352322.0
34,0.1813296344350366,0.5189581096849658,86.34361233480176,712352322.0
35,0.1581184283556307,0.4725790484385057,84.87518355359765,712352322.0
36,0.1489526139188777,0.42016779123382136,86.9309838472834,712352322.0
37,0.08976596602896118,0.6773699352687056,85.6093979441997,712352322.0
38,0.09145540426320889,0.6742206117646261,84.14096916299559,712352322.0
39,0.1336240822230192,0.8436923264102503,86.9309838472834,712352322.0
40,0.10438488633645808,0.6635571044277061,85.90308370044053,712352322.0
41,0.10655588869772413,0.5827580026604913,82.96622613803231,712352322.0
42,0.10697524461018688,0.652720474045385,85.16886930983847,712352322.0
43,0.09250668446149896,1.0227879428050735,86.63729809104258,712352322.0
44,0.25845351129605926,0.36548033221201465,83.25991189427313,712352322.0
45,0.13872290593298042,0.5462337109175596,85.16886930983847,712352322.0
46,0.07032653899205958,0.6982541355219755,86.9309838472834,712352322.0
47,0.10407839912599336,1.048309471119534,82.81938325991189,712352322.0
48,0.04693478536792099,0.6944197893820026,85.6093979441997,712352322.0
49,0.18171072246315068,0.5624325512485071,84.14096916299559,712352322.0
50,0.1674796849653563,0.5254075652496382,84.87518355359765,712352322.0
