Epoch,Train_Loss,Validation_Loss,Validation_Accuracy,FLOPs
1,0.017898137,0.376540143,90.89574156,1512884498
2,0.036023103,0.491068837,87.51835536,1512884498
3,0.066306402,0.423694665,88.69309838,1512884498
4,0.034856487,0.412770977,90.30837004,1512884498
5,0.013561646,0.310232433,92.80469897,1512884498
6,0.01402183,0.475288186,89.72099853,1512884498
7,0.007375361,0.414239628,92.07048458,1512884498
8,0.001015531,0.420061816,92.21732746,1512884498
9,0.002465078,0.476291075,91.04258443,1512884498
10,0.067541193,0.507434667,88.10572687,1512884498
11,0.053862544,0.352012574,90.89574156,1512884498
12,0.043816269,0.334887864,90.16152717,1512884498
13,0.032101977,0.529665233,88.25256975,1512884498
14,0.041715977,0.555965988,88.25256975,1512884498
15,0.040704121,0.375467214,91.33627019,1512884498
16,0.020156391,0.406265297,89.72099853,1512884498
17,0.019505335,0.432082295,88.98678414,1512884498
18,0.007124013,0.4484233,90.89574156,1512884498
19,0.01812888,0.526617414,88.39941263,1512884498
20,0.032599875,0.404424982,88.83994126,1512884498
21,0.019567574,0.403629741,90.74889868,1512884498
22,0.02346352,0.496212564,89.2804699,1512884498
23,0.02367075,0.406068047,89.86784141,1512884498
24,0.004215383,0.425299912,90.16152717,1512884498
25,0.011482764,0.525928328,87.81204112,1512884498
26,0.021060644,0.660763665,86.34361233,1512884498
27,0.066758793,0.352611891,88.54625551,1512884498
28,0.014521611,0.446369338,90.16152717,1512884498
29,0.068711267,0.411890009,87.07782673,1512884498
30,0.013991662,0.501399001,89.86784141,1512884498
31,0.01319919,0.518214863,89.13362702,1512884498
32,0.012438988,0.446865269,91.04258443,1512884498
33,0.007782463,0.407839105,91.04258443,1512884498
34,0.007095273,0.442632782,90.74889868,1512884498
35,0.008826603,0.59153257,87.66519824,1512884498
36,0.028286868,0.684977752,86.93098385,1512884498
37,0.040063962,0.379073858,90.16152717,1512884498
38,0.012129094,0.36454056,91.48311307,1512884498
39,0.004926801,0.412280229,90.74889868,1512884498
40,0.00744413,0.512951057,90.30837004,1512884498
41,0.019621933,0.671946952,86.19676946,1512884498
42,0.034337146,0.444948056,89.2804699,1512884498
43,0.020550854,0.385410792,91.9236417,1512884498
44,0.018536244,0.47986063,89.13362702,1512884498
45,0.018907998,0.465859377,90.01468429,1512884498
46,0.006647619,0.487517853,88.39941263,1512884498
47,0.004960002,0.813969678,87.95888399,1512884498
48,0.058679921,0.357589177,91.33627019,1512884498
49,0.004801769,0.384331026,91.04258443,1512884498
50,0.001246707,0.429249964,90.89574156,1512884498
