Epoch,Train Loss,Validation Loss,Validation Accuracy
1,0.7845810960320866,0.6981626613573595,45.22760646108664
2,0.6945713281631469,0.690865467895161,54.33186490455213
3,0.6940462210599114,0.6924723549322649,54.33186490455213
4,0.6939548057668349,0.6923875998366963,54.33186490455213
5,0.693979647580315,0.6926213475790891,54.33186490455213
6,0.6934845882303574,0.6932932951233604,45.66813509544787
7,0.6942118153852574,0.6926836615258997,54.33186490455213
8,0.6934129364350263,0.6962035325440493,45.66813509544787
9,0.6935946716981776,0.6934062296693976,45.66813509544787
10,0.6934255473753985,0.6941977928985249,45.66813509544787
